Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,65094,,,,,,,AG,7756728190,BREYERS NSA VANILLA I/CRM1.41L,6,1.41L,1,26.75,340,340009,BREYERS,right_only
,,651-0001-01,,,,,,,FCS,8.68E+11,ZADE SUNFLOWER OIL 500ML,20,1,1,7.64,290,290001,PERCA SOL,right_only
,,651-0001-02,,,,,,,FCS,8.68E+11,ZADE SUNFLOWER OIL 1LT,12,1,1,14.15,290,290001,PERCA SOL,right_only
,,651431,,,,,,,QF,8939205114,TITAN EMPANADILLAS DE QUESO236,12,236G,1,16.05,340,340006,TITAN ,right_only
,,651433,,,,,,,QF,8939205101,TITAN EMPANADILLAS DE PIZZA236,12,236G,1,16.05,340,340006,TITAN ,right_only
,,651435,,,,,,,QF,8939205112,TITAN EMPANADILLAS DE CARNE236,12,236G,1,16.05,340,340006,TITAN ,right_only
,,65284,,,,,,,AG,7756728192,BREYERS NSA VAN/CHOC/STRW1.41L,6,1.41L,1,26.75,340,340009,BREYERS,right_only
,,652856,,,,,,,QF,2370004578,TYSON WINGS ON FIRE 453G,8,453G,1,25.4,490,490003,TYSON,right_only
,,652858,,,,,,,QF,2370005221,TYSON BBQ STYLE CHIC WING 453G,8,453G,1,25.4,490,490003,TYSON,right_only
,,65321,,,,,,,KGF,2100065321,KRAFT MAC&CHSE 3CHSE SHELL206G,24,206G,1,6.95,600,600004,KRAFT,right_only
,,653648,,,,,,,OTC,6038302201,NN CHOCOLATE SYRUP 750ML,6,750,1,28.3,380,380003,NO NAME ,right_only
,,653971,,,,,,,OTC,6038300701,NN PCS & STEM MUSHROOMS 284ML,12,284,1,6.35,610,610001,NO NAME,right_only
,,654319,,,,,,,AGF,4130300161,E/DAY CRISPY RICE 340G,12,340G,1,19.7,260,260005,ESSENTIAL E/DAY,right_only
,,654368,,,,,,,AGF,4130304231,E/DAY MULTIGRN TOAST OATS 362G,14,362G,1,23.3,260,260005,ESSENTIAL E/DAY,right_only
,,654426,,,,,,,AGF,4130301359,E/DAY DOUBLE PACK WIPES 2/75CT,3,2/75CT,1,34.25,370,370002,ESSENTIAL E/DAY,right_only
,,654434,,,,,,,AGF,4130301027,E/DAY COFFEE FLTR BASKET 100CT,12,100CT,1,6.25,270,270001,ESSENTIAL E/DAY,right_only
,,654475,,,,,,,AGF,4130301357,E/DAY FRESH SCENT WIPES 75CT,6,75CT,0,23.3,370,370002,ESSENTIAL E/DAY,right_only
,,654483,,,,,,,AGF,4130301358,E/DAY LEMON SCENT WIPES 75CT,12,75CT,0,12.95,370,370002,ESSENTIAL E/DAY,right_only
,,654517,,,,,,,AG,4130302480,E/DAY UNSALTED BUTTER 454G,18,226G,1,24.35,310,310002,E/DAY,right_only
,,654525,,,,,,,AG,4130302482,E/DAY SALTED BUTTER 454G,36,226G,1,20.6,310,310002,E/DAY,right_only
,,654558,,,,,,,AGF,4130300396,E/DAY ORIGINAL BBQ SAUCE 510G,12,510G,1,9.5,490,490002,ESSENTIAL E/DAY,right_only
,,654566,,,,,,,AGF,4130300397,E/DAY SWT & TANG BBQ SAUCE 510,12,510G,1,8.4,490,490002,ESSENTIAL E/DAY,right_only
KT,,654657,ESSDAY BBQ SCE SPICY,12/18 OZ,1,0,D,999002,AGF,4130301387,E/DAY SPICY BBQ SAUCE 510G,12,510G,1,10,490,490002,ESSENTIAL E/DAY,both
KT, ,654665,E/DAY PANCKAE SYRUP,12/12OZ,1,0,B,999002,AGF,4130301984,E/DAY ORIG PANCAKE SYRUP354ML,12,355ML,1,14.05,380,380003,ESSENTIAL E/DAY,both
KT,,654665,E/DAY PANCKAE SYRUP,12/12OZ,1,0,B,999002,AGF,4130301984,E/DAY ORIG PANCAKE SYRUP354ML,12,355ML,1,14.05,380,380003,ESSENTIAL E/DAY,both
,,654731,,,,,,,AGF,4130303114,E/DAY CONC GRAPE JELLY 510G,12,510G,1,12.85,380,380001,ESSENTIAL E/DAY,right_only
KT,,654764,E/DAY APPLE JELLY,12/18OZ,1,0,E,999006,AGF,4130303115,ESS E/DAY APPLE JELLY 510G,12,510G,1,12.85,380,380001,SHURFINE,both
KT,,654764,E/DAY APPLE JELLY,12/18OZ,1,0,E,999006,AGF,4130303115,ESS E/DAY APPLE JELLY 510G,12,510G,1,12.85,380,380001,SHURFINE,both
KT,,654772,E/DAY ORANGE MARM,12/18OZ,2,0,B,999005,AGF,4130303116,E/DAY ORANGE MARMALADE 510G,12,510G,1,15.2,380,380001,ESSENTIAL E/DAY,both
KT,,654772,E/DAY ORANGE MARM,12/18OZ,2,0,B,999005,AGF,4130303116,E/DAY ORANGE MARMALADE 510G,12,510G,1,15.2,380,380001,ESSENTIAL E/DAY,both
,,654806,,,,,,,AGF,4130303121,E/DAY STRAWBERRY PRES 510G,12,510G,1,15.2,380,380001,ESSENTIAL E/DAY,right_only
,,654897,,,,,,,AGF,4130301135,E/DAY ORIG SALTINES 453G,24,453G,1,17.35,530,530003,ESSENTIAL E/DAY,right_only
KT,,65490,MOTTS APPLE JC 4/128, ,1,0,C,999001,AGF,1480000039,MOTTS UNSWT APPLE JUICE 3.78L,4,3.78L,1,41.9,190,190002,MOTTS,both
,,654905,,,,,,,AGF,4130301136,E/DAY UNSALT TOP SALTINES 453G,12,453G,1,12.5,530,530003,ESSENTIAL E/DAY,right_only
,,654947,,,,,,,AGF,4130300045,E/DAY SPAGHETTI 454G,20,454G,1,6.5,600,600002,ESSENTIAL E/DAY,right_only
,,654954,,,,,,,AGF,4130300047,E/DAY THIN SPAGHETTI 454G,20,454G,1,6.5,600,600002,ESSENTIAL E/DAY,right_only
,,654988,,,,,,,AGF,4130300053,E/DAY LINGUINE 454G,20,454G,1,6.5,600,600002,ESSENTIAL E/DAY,right_only
,,655-0001-01,,,,,,,FCS,70192903450,CAFE BAR FRENCH VAN CAPP 7CNT,12,175,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0001-01,,,,,,,FCS,70192903446,CAFE BAR  FRNCH VANN CAPP 25G,84,25G,1,2.15,270,270001,CAFE BARISTA,right_only
,,655-0001-02,,,,,,,FCS,70192903451,CAFE BAR HAZELNUT CAPP 7CNT,12,175,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0001-02,,,,,,,FCS,70192903447,CAFE BAR HAZELNUT CAPP 25G,84,25G,1,2.15,270,270001,CAFE BARISTA,right_only
,,655-0001-03,,,,,,,FCS,70192903452,CAFE BAR CLASS CAPPUCINO 7CNT,12,175,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0001-03,,,,,,,FCS,70192903448,CAFE BAR  CAPPUCUINO CLASS 25G,84,25G,1,2.15,270,270001,CAFE BARISTA,right_only
,,655-0001-04,,,,,,,FCS,70192903453,CAFE BAR MOCHA CAPPUCCINO 7CNT,12,175,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0001-05,,,,,,,FCS,70192903481,CAFE BAR SALTED CARAMEL 7CNT,12,175,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0001-05,,,,,,,FCS,70192903480,CAFE BAR SALTED CARAMEL 25G,84,25G,1,2.15,270,270001,CAFE BARISTA,right_only
,,655-0001-06,,,,,,,FCS,70192903484,CAFE BAR PUMPKIN SPICE7CNT175G,12,175G,1,14.9,270,270001,CAFE BARISTA,right_only
,,655-0004-01,,,,,,,FCS,7.89E+11,NUTRIBOM RICE CEREAL 350G,16,350GG,0,12.95,160,160001,NUTRIBOM,right_only
,,655-0004-02,,,,,,,FCS,7.89E+11,NUTRIBOM OATS CEREAL 350G,16,350GG,0,12.95,160,160001,NUTRIBOM,right_only
,,655-0004-03,,,,,,,FCS,7.89E+11,NUTRIBOM MUTLIGRAIN CEREAL350G,16,350GG,0,12.95,160,160001,NUTRIBOM,right_only
,,655-0004-04,,,,,,,FCS,7.89E+11,NUTRIBOM BAN APPLE CEREAL350G,16,350GG,0,12.95,160,160001,NUTRIBOM,right_only
,,655-0004-05,,,,,,,FCS,7.89E+11,NUTRIBOM HNY&WHEAT CEREAL350G,16,350GG,0,12.95,160,160001,NUTRIBOM,right_only
,,655-0004-06,,,,,,,FCS,7.89E+11,NUTRIBOM BAN&APPLE CEREAL 230G,24,230G,0,9.05,160,160001,NUTRIBOM,right_only
,,655000104,,,,,,,FCS,70192903449,CAFE BAR MOCHA CAPP 25G,84,25G,1,2,270,270001,CAFE BARISTA,right_only
,,655100,,,,,,,AGF,4130300072,E/DAY ESS LASAGNA 454G,12,454G,1,10.6,600,600002,EVERYDAY ESSENT,right_only
,,655142,,,,,,,AGF,4130301958,E/DAY IODIZED SALT 737G,24,737G,1,5.5,550,550002,ESSENTIAL E/DAY,right_only
,,655159,,,,,,,AGF,4130301959,E/DAY SALT 737G,24,737G,1,5.5,550,550002,ESSENTIAL E/DAY,right_only
,,655266,,,,,,,AG,4130301190,E/DAY BLUEBERRIES 340G,12,340G,1,16.55,340,340001,ESSENTIAL E/DAY,right_only
,,655274,,,,,,,AG,4130301191,E/DAY DARK SWEET CHERRIES 340G,12,340G,1,15.65,340,340001,ESSENTIAL E/DAY,right_only
,,655282,,,,,,,AG,4130301192,E/DAY RED RASPBERRIES 340G,12,340G,1,28.85,380,380001,ESSENTIAL E/DAY,right_only
,,655308,,,,,,,AGF,4130301194,ESS E/DAY SLICED PEACHES 454G,12,454G,1,18.6,340,340001,ESSENTIAL E/DAY,right_only
,,655316,,,,,,,AG,4130304594,E/DAY SLICED STRAWBERRIES 425G,24,425G,1,17.45,340,340001,ESSENTIAL E/DAY,right_only
,,655365,,,,,,,AGF,4130305978,E/DAY OXY STAIN REMOVER 1.36K,6,1.36KG,1,34.55,370,370001,ESSENTIAL E/DAY,right_only
,,655480,,,,,,,AGF,4130301934,E/DAY PURE CORN OIL 1.42LT,9,1.42LT,1,45.5,290,290001,ESSENTIAL E/DAY,right_only
,,655530,,,,,,,AGF,4130301938,E/DAY PURE CANOLA OIL 1.42LT,9,1.42LT,1,28.8,290,290001,ESSENTIAL E/DAY,right_only
,,655639,,,,,,,AGF,4130301325,E/DAY GLASS CLN W/TRIG 946ML,8,946ML,1,9.75,370,370002,ESSENTIAL E/DAY,right_only
,,655860,,,,,,,AGF,4130301341,E/DAY LEMON AMMONIA CLN 1.89L,8,1.89LT,1,12.95,370,370002,ESSENTIAL E/DAY,right_only
KT,,655878,EDAY AMMONIA CLEAR 8/64 OZ, ,1,0,A,999004,AGF,4130301342,E/DAY ALLPURP AMMONIA CLN1.89L,8,1.89LT,1,15.7,370,370002,ESSENTIAL E/DAY,both
KT,,655878,EDAY AMMONIA CLEAR 8/64 OZ, ,1,0,A,999004,AGF,4130301342,E/DAY ALLPURP AMMONIA CLN1.89L,8,1.89LT,1,15.7,370,370002,ESSENTIAL E/DAY,both
,,655886,,,,,,,AGF,4130301343,E/DAY H/DUTY OVEN CLEANER 453G,12,453G,1,10.6,370,370002,ESSENTIAL E/DAY,right_only
,,655951,,,,,,,AGF,4130305490,EDAY DISTILLED WATER 3.79L,6,3.79L,1,12.65,190,190001,ESSENTIAL EVERY,right_only
,,655951,,,,,,,AGF,4130305489,EDAY DISTILLED WATER 3.79L,6,3.79L,1,12.65,190,190001,ESSENTIAL EVERY,right_only
,,655951A,,,,,,,AGF,4127001598,IGA DISTILLED WATER 3.79L,6,3.79L,1,12.65,190,190001,IGA ,right_only
KT,,655985,EDAY NATURAL WATER,24/.5L,1,0,C,999001,AGF,4130305441,ESS EDAY SPRING WATER 0.5 L,24,.5L,1,2.5,190,190001,ESS EDAY,both
,,656,,,,,,,BAD,3384400656,BADIA PUMPKIN SEED 56.7 G,12,56.7G,1,4.9,530,530009,BADIA,right_only
,,656066,,,,,,,AG,4130300708,E/DAY COLBY CHEESE 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,65607,,,,,,,AGF,7067812603,ROTHBURY CHSE GRLC CROUTON142G,12,142,1,8.95,600,600007,ROTHBURY,right_only
,,656074,,,,,,,AG,4130300709,E/DAY COLBY JACK CHEESE 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656082,,,,,,,AG,4130300712,E/DAY EX SHARP CHEDDAR 226G,12,226G,1,15,310,310002,E/DAY,right_only
,,656090,,,,,,,AG,4130300714,E/DAY MEDIUM CHEDDAR 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656108,,,,,,,AG,4130300715,E/DAY MILD CHEDDAR 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656116,,,,,,,AG,4130300719,E/DAY MONTEREY JACK CHSE 226G,12,226G,1,14.8,310,310002,E/DAY,right_only
,,656124,,,,,,,AG,4130300720,E/DAY MOZZARELLA CHEESE 226G,12,226G,1,14.7,310,310002,E/DAY,right_only
,,656132,,,,,,,AG,4130300724,E/DAY PEPPER JACK CHEESE 226G,12,226G,1,14.7,310,310002,E/DAY,right_only
,,656363,,,,,,,AG,4130300726,E/DAY SHARP CHEDDAR CHSE 226G,12,226G,1,14.8,310,310002,E/DAY,right_only
,,656405,,,,,,,AG,4130300729,E/DAY SWISS CHEESE 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656421,,,,,,,AG,4130300751,E/DAY MILD CHEDDAR CHEESE 453G,12,226G,1,28.55,310,310002,E/DAY,right_only
,,656454,,,,,,,AG,4130300763,ESS E/DAY MOZZARELLA CHS 453GG,12,453G,1,28.05,310,310002,ESSENTIAL E/DAY,right_only
,,656462,,,,,,,AG,4130300791,E/DAY SHRED CHED JACK CHS 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656470,,,,,,,AG,4130300792,E/DAY SHRED CHEDDAR MELT 226G,12,226G,1,15.05,310,310002,E/DAY,right_only
,,656553,,,,,,,AG,4130300802,E/DAY SHRED PART SKIM MOZZ226G,12,226G,1,15.05,310,310003,ESSENTIAL E/DAY,right_only
,,656637,,,,,,,AG,4130300832,E/DAY MILD CHEDDAR 10SLC 226G,12,226G,1,15.05,310,310002,ESSENTIAL E/DAY,right_only
,,656645,,,,,,,AG,4130300834,E/DAY MOZZARELLA 10SLC 226G,12,226G,1,15.05,310,310002,ESSENTIAL E/DAY,right_only
,,656660,,,,,,,AG,4130300836,E/DAY PEPPER JACK 10SLC 226G,12,226G,1,14.7,310,310002,ESSENTIAL E/DAY,right_only
,,656678,,,,,,,AG,4130300837,E/DAY PROVOLONE 10SLC 226G,12,226G,1,13.7,310,310002,ESSENTIAL E/DAY,right_only
,,656710,,,,,,,AG,4130300846,E/DAY IW SINGLES AM 16SLC 340G,48,340G,1,12.7,310,310002,E/DAY,right_only
,,656728,,,,,,,AG,4130300852,E/DAY SINGLES SWISS 16SLC 340G,12,226G,1,16.75,310,310003,ESSENTIAL E/DAY,right_only
,,656736,,,,,,,AG,4130300859,E/DAY DELI AM CHS 24SLC 453G ,12,453G,1,16.8,310,310002,ESSENTIAL E/DAY,right_only
,,656769,,,,,,,AG,4130300867,E/DAY COLBY JACK SNACK STK283G,12,283G,1,16.25,310,310002,E/DAY,right_only
,,656777,,,,,,,AG,4130304545,E/DAY SHRED WHL MILK MOZZ 226G,12,226G,1,13.5,310,310003,ESSENTIAL E/DAY,right_only
,,656819,,,,,,,AG,4130306673,E/DAY MOZZARELLA STRING CH283G,12,283G,1,16.25,310,310002,E/DAY,right_only
,,656850,,,,,,,AG,4130310051,E/DAY GRATED PARMESAN CHSE 85G,24,85G,1,7.8,310,310002,E/DAY,right_only
,,656868,,,,,,,AG,4130300881,E/DAY GRATED PARMESAN CHSE227G,12,227G,1,20.6,310,310002,E/DAY,right_only
,,657072,,,,,,,AGF,4130305444,E/DAY CREAMY P/NUT BUTR 454G,12,454G,1,11.85,380,380002,ESSENTIAL E/DAY,right_only
KT,,657080,E/DAY PNUT BTR CRUNC,12/16 OZ,1,0,E,99900,AGF,4130305445,E/DAY CRUNCHY P/NUT BUTR 454G,12,454G,1,12.6,380,380002,ESSENTIAL E/DAY,both
,,657551,,,,,,,AGF,4130300310,E/DAY LRG RIPE OLIVE PITT 170G,24,170G,1,8.6,280,280005,ESSENTIAL E/DAY,right_only
,,657627,,,,,,,AGF,4130301284,E/DAY LUNCH PAPER BAGS 100CT,12,100CT,1,17.8,430,430008,ESSENTIAL E/DAY,right_only
,,657676,,,,,,,AGF,4130302378,ESS DESIGN 8IN PPR PLATES 45CT,12,45CT,0,14.4,430,430005,ESSENTIAL E/DAY,right_only
KT,,657684,EDAY PLATE DESIN 7IN,Dec-48,1,0,D,999001,AGF,4130302379,ESS DESIGN 7IN PPR PLATES 48CT,12,48CT,1,14.25,430,430005,ESSENTIAL E/DAY,both
KT,,657684,EDAY PLATE DESIN 7IN,Dec-48,1,0,D,999001,AGF,4130302379,ESS DESIGN 7IN PPR PLATES 48CT,12,48CT,1,14.25,430,430005,ESSENTIAL E/DAY,both
KT,,657692,EDAY BOWL DESIGN20Z,12/28CT,1,0,E,999001,AGF,4130302380,E/DAY DESIGN BOWLS 591ML 28CT,12,28CT,1,16.5,430,430005,ESSENTIAL E/DAY,both
KT,,657692,EDAY BOWL DESIGN20Z,12/28CT,1,0,E,999001,AGF,4130302380,E/DAY DESIGN BOWLS 591ML 28CT,12,28CT,1,16.5,430,430005,ESSENTIAL E/DAY,both
KT,,657700,EDAY CUP DESIGNER,12/54CT,1,0,C,999001,AGF,4130302381,E/DAY DESIGN PAPER CUP54/266ML,12,54X266ML,0,8.4,430,430005,ESSENTIAL E/DAY,both
KT,,657700,EDAY CUP DESIGNER,12/54CT,1,0,C,999001,AGF,4130302381,E/DAY DESIGN PAPER CUP54/266ML,12,54X266ML,0,8.4,430,430005,ESSENTIAL E/DAY,both
,,657734,,,,,,,AGF,4130300283,ESS LIGHT CRANBERRY 1.89 L,8,1.89 L,1,16.8,190,190002,ESSENTIAL EDAY,right_only
,,657734/657791,,,,,,,AGF,4130300287,E/DAY CRANBERRY JC C/TAIL1.89L,8,1.89 L,1,15.5,190,190002,ESSENTIAL EDAY,right_only
KT,,657791,EDAY CRANBRRY 8/64Z,JCE 8/64 OZ,1,0,W,999001,,,,,,,,,,,left_only
KT,,657858,E/DAY APPLE JCE 8/64, ,1,0,B,999001,AGF,4130300440,E/DAY ESSENT 100% APPL JC 64 Z,8,64 OZ,1,13,190,190002,E/DAY APPLE JC,both
,,657874,,,,,,,AGF,4130300445,E/DAY 100% APPLE JUICE 3.78LT,4,3.78,1,24.6,190,190002,ESSENTIAL E/DAY,right_only
,,658039,,,,,,,AGF,4130300470,E/DAY WHITE VINEGAR 1QT 946ML,12,1,1,9.45,290,290003,ESSEN EVERYDAY,right_only
,,658054,,,,,,,AGF,4130300472,E/DAY WHITE VINEGAR 1 GL,4,1,1,18.55,290,290003,CLIC,right_only
,,658229,,,,,,,AGF,4130300977,E/DAY SLICED BEETS 234G,12,234G,1,4.5,610,610001,ESSENTIAL E/DAY,right_only
KT,,658294,EDAY SWT PEAS 12/8.5, ,2,0,E,999003,,,,,,,,,,,left_only
,,658310,,,,,,,AGF,4130300990,E/DAY  SWT PEAS  425G,24,425G,1,6.65,610,610001,ESSENTIAL E/DAY,right_only
KT,,658369,E/DAY WK SWT CORN,12/8.5 OZ,2,0,B,999003,AGF,4130300996,E/DAY WHL KERN SWEET CORN 241G,12,241G,1,4.5,610,610001,ESSENTIAL E/DAY,both
,,658385,,,,,,,AGF,4130301000,E/DAY WHL KERN SWEET CORN 432G,24,432G,1,4.65,610,610001,ESSENTIAL E/DAY,right_only
,,658393,,,,,,,AGF,4130301001,E/DAY WK WHITE&GOLD CORN 432G,24,432G,1,6.35,610,610001,ESSENTIAL E/DAY,right_only
,,658404,,,,,,,OTC,6038314720,PC JUST ALMONDS CRUNCHY 340G,12,340,1,39.55,380,380004,PRESIDENT CHOIC,right_only
KT,,658567,E/DAY FRUIT C/TAIL,HVY SYRUP 12/8.7/OZ,1,0,D,999003,AGF,4130301748,E/DAY FRUIT C/TAIL HVY SYR248G,12,248G,1,9.25,610,610002,ESSENTIAL E/DAY,both
,,65862,,,,,,,AG,2898997580,M/STAR FARM GARD VEG PATTY268G,12,268G,1,19.3,340,340004,MORNING STAR,right_only
,,658880,,,,,,,AGF,4130304644,E/DAY WILD BIRD FOOD 2.27KG,8,2.27KG,1,34.9,450,450007,ESSENTIAL E/DAY,right_only
,,658898,,,,,,,AGF,4130304645,E/DAY WILD BIRD FOOD 4.54KG,4,4.54KG,1,68.91,450,450007,ESSENTIAL E/DAY,right_only
,,658906,,,,,,,AGF,4130304646,E/DAY WILD BIRD SEED 9.07KG,1,9.07KG,1,238.15,450,450007,ESSENTIAL E/DAY,right_only
,,658989,,,,,,,AGF,4130301055,E/DAY MUSHROOMS STEM&PCS 226G,24,375G,1,11.25,610,610001,ESSENTIAL E/DAY,right_only
,,659045,,,,,,,AGF,4130301064,E/DAY PINEAPPLE SLICES JC 567G,24,567G,1,9.3,610,610002,ESSENTIAL E/DAY,right_only
,,659052,,,,,,,AGF,4130301065,E/DAY CHUNK PINEAPPLE JCE 567G,24,597G,1,9.3,610,610002,DOLE,right_only
,,6591,,,,,,,CTL,5.02E+11,TODAYS RESULT LEMN WASH 500ML,12,500ML,1,7.65,370,370001,TODAYS,right_only
KT,,659128,EDAY OLIVE QUEEN STF,12/7OZ,1,0,A,99900,AGF,4130301085,E/DAY STUFF QUEEN OLIVES 198G,12,198G,1,16.05,280,280005,ESSENTIAL E/DAY,both
KT,,659128,EDAY OLIVE QUEEN STF,12/7OZ,1,0,A,99900,AGF,4130301085,E/DAY STUFF QUEEN OLIVES 198G,12,198G,1,16.05,280,280005,ESSENTIAL E/DAY,both
,,659177,,,,,,,AGF,4130301879,E/DAY EVAPORATED MILK 354ML,24,354ML,,6.45,310,310003,ESSENTIAL E/DAY,right_only
KT, ,659284,E/DAY GRN TEA 12/40C, ,2,0,C,999002,AGF,4130301098,E/DAY GREEN TEA  90 G,12,90G/40CT,1,18.45,270,270004,ESSENTIAL E/DAY,both
,,659367,,,,,,,AGF,4130300365,E/DAY TOMATO PASTE 340G,24,340G,1,8.75,490,490003,ESSENTIAL E/DAY,right_only
,,659466,,,,,,,AGF,4130300380,E/DAY DICE TOMATO W ON&GAR411G,24,411G,1,5.1,610,610005,ESSENTIAL E/DAY,right_only
,,659474,,,,,,,AGF,4130300381,E/DAY DICED TOMATOES 411G,24,411G,1,5,610,610005,ESSENTIAL E/DAY,right_only
,,659581,,,,,,,AGF,4130300452,E/DAY TOMATO KETCHUP 907G,12,1.07KG,1,10.4,280,280001,ESSENTIAL EVERY,right_only
KT, ,659599,E/DAY KETCHUP 9/64OZ, ,2,0,C,999002,AGF,4130300454,E/DAY TOMATO KETCHUP 1.81KG,9,1.81KG,1,21.85,280,280001,ESSENTIAL E/DAY,both
,,659649,,,,,,,AGF,4130304696,E/DAY TOMATO KETCHUP 1.07KG,12,1.07KG,1,13.05,280,280001,ESSENTIAL EVERY,right_only
,,659656,,,,,,,AGF,4130301229,E/DAY PLASTIC WRAP 200 SQ FT,12,200 SQFT,1,12.6,430,430007,ESSENTIAL E/DAY,right_only
,,659680,,,,,,,AGF,4130307260,E/DAY GALLON STORGAE 19CT,12,19CT,1,8.55,430,430008,ESSENTIAL E/DAY,right_only
KT,,659706,EDAY STORGE BAG QRT,12/20CT,1,0,E,999001,AGF,4130301246,E/DAY QRT STORAGE BAG SLIDE20S,12,20CT,1,11.35,430,430008,ESSENTIAL E/DAY,both
KT,,659706,EDAY STORGE BAG QRT,12/20CT,1,0,E,999001,AGF,4130301246,E/DAY QRT STORAGE BAG SLIDE20S,12,20CT,1,11.35,430,430008,ESSENTIAL E/DAY,both
,,659714,,,,,,,AGF,4130301247,E/DAY GAL STORAGE BAG SLIDE15S,12,15CT,1,11.35,430,430008,ESSENTIAL E/DAY,right_only
,,659730,,,,,,,AGF,4130301249,E/DAY 1GAL FRZ BAG SLIDER 10CT,12,10CT,1,13.5,430,430008,ESSENTIAL E/DAY,right_only
KT,,659771,EDAY CONTAINER 6/5S, ,1,0,C,999005,AGF,4130301251,E/DAY SOUP&SALAD REUSE CONT5CT,6,5CT,1,14.85,430,430004,ESSENTIAL E/DAY,both
,,659789,,,,,,,AGF,4130301252,E/DAY SNACK  REUSE CONT&LID6CT,6,6CT,1,19.4,430,430004,ESSENTIAL E/DAY,right_only
KT,,659797,EDAY CONTAINER 6/3S, ,1,0,C,999005,AGF,4130301253,E/DAY DEEP DISH REUSE CONT 3CT,6,3CT,1,14.85,430,430004,ESSENTIAL E/DAY,both
,,65980,,,,,,,BLU,7.70E+11,IMUSA CUTTING BOARD PLAST HAND,1,1CT,1,21.55,370,370009,IMUSA,right_only
,,659821,,,,,,,AGF,4130301258,E/DAY WASTEBASKET LINER 4GL30S,12,4GAL/30CT,1,9.6,370,370008,ESSENTIAL E/DAY,right_only
,,659839,,,,,,,AGF,4130301259,E/DAY 8G WASTEBASKET LINER20CT,24,8GAL/20CT,1,9.7,370,370008,ESSENTIAL E/DAY,right_only
,,659847,,,,,,,AGF,4130301261,E/DAY FLAP TOP KITC BAG 15 BG,12,15 CT,1,13.05,370,370008,ESS E/DAY,right_only
KT,,659854,E/DAY TALL KITCHEN,BAGS 12/20CT,1,0,D,999001,AGF,4130301264,E/DAY TALL KITCHEN BAG 13G20CT,12,20X13G,1,19.95,370,370008,GLAD,both
,,659862,,,,,,,AGF,4130301268,E/DAY TALL KIT BAGS 40 CT,6,40 CT,1,38.95,370,370008,ESSENTIAL E/DAY,right_only
,,659888,,,,,,,AGF,4130301279,E/DAY 39G LAWN&LEAF F/TOP 10CT,12,39GAL/10,1,21.65,370,370008,ESSENTIAL E/DAY,right_only
,,659896,,,,,,,AGF,4130301280,E/DAY SSZ 55G TWISTTIE BAG20CT,6,55GAL/20,1,53.1,370,370008,ESSENTIAL E/DAY,right_only
,,659912,,,,,,,AGF,4130301841,EDAY TRASH BAG F/TOP 40/30GL,6,40X30GAL,1,43.4,370,370008,ESSENTIAL E/DAY,right_only
KT,,659953,EDAY FREEZ BAG QUART,9/65CT,1,0,E,999001,AGF,4130306242,E/DAY QRT FRZ ZIP BAGS 65CT,9,65CT,1,26.65,430,430008,ESSENTIAL E/DAY,both
KT,,659953,EDAY FREEZ BAG QUART,9/65CT,1,0,E,999001,AGF,4130306242,E/DAY QRT FRZ ZIP BAGS 65CT,9,65CT,1,26.65,430,430008,ESSENTIAL E/DAY,both
,,659979,,,,,,,AGF,4130307262,E/DAY QRT STORAGE BAG RECLOS24,12,24CT,1,9.5,430,430008,ESSENTIAL E/DAY,right_only
,,6600,,,,,,,SRB,6600,SANDWICH LOAF REGULAR,1,1,,4.9,200,200001,SUNRISE,right_only
,,6601,,,,,,,SRB,6601,SANDWICH LOAF PREMIUM,1,1,,5.3,200,200001,SUNRISE,right_only
,,660159,,,,,,,AGF,4130301506,ESS EDAY HNY RST PNUTS 453G,12,,1,14.75,530,530009,,right_only
,,6602,,,,,,,SRB,6602,BUTTER BREAD 2 PER BAG,1,2PK,0,2.35,200,200003,SUNRISE,right_only
,,66023,,,,,,,CG,3.23E+11,PRESIDENT PLN GOAT CHEESE113G,12,113G,1,17.3,310,310002,PRESIDENT,right_only
,,66023,,,,,,,CG,7790100272,PRESIDENT PLN GOAT CHEESE 297G,12,297G,1,27,310,310002,PRESIDENT,right_only
,,6603,,,,,,,SRB,6603,ROUND BREAD REGULAR 5 PER BAG,1,5PK,,2.5,200,200004,SUNRISE,right_only
,,660313,,,,,,,CTL,5.00E+11,WAIT ECOLOG W&S T/CLN 750ML,12,750ML,1,12.8,370,370002,WAITROSE,right_only
,,6604,,,,,,,SRB,6604,WHOLEWHEAT SANDWICH LOAF ,1,1,,5.65,200,200001,SUNRISE,right_only
