Loc,Mfg,item,description,ext_desc,avail_o/h ,Comm_O/H,RANK,AISLE_ZONEBIN,vendor_id,plu_number,product_description,case_pack_size,size_desc,tax_flag, retail_price ,sub_department_number,sub_category_number,brand_identity,_merge
,,1E+13,,,,,,,PGC,3700087339,FEBREZE UNSTOPABLE TOUCH 500ML,6,500ML,1,22.55,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3700096254,FEBREZE AIR SPRING&RENEW 250G,6,250G,1,16.3,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3700096264,FEBREZE AIR MEDI LAVENDER 250G,6,250G,1,16.25,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3700096260,FEBREZE AIR HAWAIIAN ALOHA250G,9,250G,1,16.3,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3700096257,FEBREZE AIR H/D CRISP CLN 250G,6,250G,1,16.3,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3700096252,FEBREZE AIR GAIN SCENT 250G,6,250G,1,16.3,370,370006,FEBREZE,right_only
,,1E+13,,,,,,,PGC,3077210033,DOWNY ULTRA APRIL FRESH 131LT,6,1.31LT,1,27.65,370,370001,DOWNY,right_only
,,1E+13,,,,,,,PGC,3700035762,DOWNY APRIL FRESH FAB SOFT1.5L,8,1.5LT,1,30.35,370,370001,DOWNY,right_only
,,1E+13,,,,,,,PGC,3700035751,DOWNY APRIL FRESH FAB SOFT1.2L,6,1.2LT,1,20.9,370,370001,DOWNY,right_only
,,1E+13,,,,,,,PGC,3700074061,DAWN LEMON ESS DISHWASH 479ML,10,479ML,0,14.6,370,370004,DAWN,right_only
,,1E+13,,,,,,,PGC,3700090729,CREST+ COMPLTE DEEP CLEAN 153G,24,153G,1,18.9,180,180001,CREST,right_only
,,1E+13,,,,,,,PGC,3700051197,CREST TART CON WHTN C/MINT161G,24,161G,1,9.9,180,180001,CREST ,right_only
,,1E+13,,,,,,,PGC,3700051208,CREST REG PASTE VALU PK 2/161G,6,2/161G,1,19.2,180,180001,CREST ,right_only
,,1E+13,,,,,,,PGC,3700051206,CREST REG PASTE 161G,24,161G,1,9.9,180,180001,CREST ,right_only
,,1E+13,,,,,,,PGC,3700085193,CREST PLUS+WHTN MINT FRSH 153G,12,153G,1,18.9,180,180001,CREST,right_only
,,1E+13,,,,,,,PGC,3700051203,CREST COOL MINT GEL CAVITY161G,24,161G,1,9.9,180,180001,CREST,right_only
,,1E+13,,,,,,,PGC,3077201467,CHARMIN ULT SOFT MEGA 6 ROLL,3,4 ROLL,0,30.55,430,430001,CHARMIN,right_only
,,1E+13,,,,,,,PGC,3077208806,CHARMIN ULT SFT B/ROOM MEGA4CT,8,4 ROLL,0,23.15,430,430001,CHARMIN,right_only
,,1E+13,,,,,,,PGC,3700061134,CHARMIN STRG B/TISSUE 4CT PLY,6,1PLY/6,0,20.6,430,430002,CHARMIN,right_only
,,1E+13,,,,,,,PGC,3077201517,CHARMIN B/ROOM MEGA 4/2PLY,6,4 ROLL,0,19.7,430,430001,CHARMIN,right_only
,,1E+13,,,,,,,PGC,3700066564,BOUNTY SAS WHT TOWEL 6 DBL RL,1,6CT,1,47.9,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3700066541,BOUNTY SAS WHT TOWEL 12 DBL RL,1,12CT,1,100.1,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3077206095,BOUNTY SAS TOWEL 12/1 DBL ROLL,1,12/1ROLL,1,89.35,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3077206130,BOUNTY SAS TOWEL 12/1 DBL ROLL,1,12/1ROLL,1,89.35,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3077205815,BOUNTY SAS TOWEL 1 DBL ROLL,24,1CT,1,12.2,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3700066660,BOUNTY SAS PRINT TOWEL 2DBL RL,6,12CT,1,20.95,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3077206135,BOUNTY SAS PRINT DBL ROLL 6CT,1,2CT,1,55.65,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3077206141,BOUNTY SAS PRINT DBL ROLL 2CT,6,2CT,1,25.45,430,430002,BOUNTY,right_only
,,1E+13,,,,,,,PGC,3700094598,ARIEL ORIGINAL DETERGENT 1KG,9,1KG,,19.15,370,370001,ARIEL,right_only
,,1E+13,,,,,,,PGC,3077203334,ALWAYS ULTRA THIN PAD SZ1 26CT,12,26CT,0,20.1,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3700010796,ALWAYS NO FEEL THIN LINER120CT,6,120CT,0,30.2,180,180010,ALWAYS,right_only
,,1E+13,,,,,,,PGC,3077203368,ALWAYS MAXI PADS SZ 2 W/W 18CT,8,18CT,0,21.6,180,180010,ALWAYS,right_only
